#Category Name (mandatory),#Application Name (mandatory),#Repo package(s) (mandatory only for repo-applications)
,,
desktop,Ubuntu,ubuntu-desktop
desktop,Kubuntu,kubuntu-desktop
desktop,Xubuntu,xubuntu-desktop
desktop,Lubuntu,lubuntu-desktop pavucontrol
desktop,Edubuntu,edubuntu-desktop
desktop,Cinnamon,cinnamon
desktop,Mate,mate-desktop-environment
desktop,Xfce,xfce4
desktop,Lxde,lxde xinit lxsession-logout xfce4-notifyd
,,
developer_tools,Atom,atom
developer_tools,Bluefish,bluefish
developer_tools,Eclipse,eclipse
developer_tools,Emacs,emacs
developer_tools,Geany,geany
developer_tools,Git,git
developer_tools,Git_cola,git-cola
developer_tools,MariaDB_client,mariadb-client-10.1
developer_tools,Meld,meld
developer_tools,MySQL_workbench,mysql-workbench
developer_tools,Netbeans,netbeans
developer_tools,OpenJdk,default-jdk
developer_tools,Pgadmin_iii,pgadmin3
developer_tools,PostgreSql_client,postgresql-client
developer_tools,Qt_creator,qtcreator
developer_tools,SQLite_database_browser,sqlitebrowser
developer_tools,Sublime_text,sublime-text
,,
education,Goldendict,goldendict
education,Klavaro,klavaro
education,Ktouch,ktouch
education,Marble,marble-qt
,,
games,Battle_for_Wesnoth,wesnoth
games,Frogatto,frogatto
games,Gbrainy,gbrainy
games,Pingus,pingus
games,Steam,steam
games,Supertux,supertux
games,Supertuxkart,supertuxkart
games,Xonotic,xonotic
,,
graphics,Blender,blender
graphics,Gimp,gimp
graphics,Hugin_panorama_photo_stitcher,hugin
graphics,Imagemagick,imagemagick
graphics,Inkscape,inkscape
graphics,Pinta,pinta
graphics,Qcomicbook,qcomicbook
graphics,Scribus,scribus
graphics,Shutter,shutter
graphics,Xnconvert,
,,
internet,aMule_application,amule
internet,aMule_client,amule-utils-gui
internet,Chrome,google-chrome-stable
internet,Chromium,chromium-browser
internet,Deluge_application,deluge
internet,Discord,
internet,Dropbox,nautilus-dropbox
internet,Filezilla,filezilla
internet,Firefox,firefox
internet,Google_earth,googleearth-package
internet,jDownloader2,
internet,Kget,kget
internet,Liferea,liferea
internet,Mumble,mumble
internet,OpenJRE,default-jre
internet,Pidgin,pidgin pidgin-extprefs
internet,qBittorrent_application,qbittorrent
internet,Remmina,remmina
internet,Skype,
internet,Teamviewer_full,
internet,Teamviewer_quick_support,
internet,Thunderbird,thunderbird
internet,Transmission_application_Qt,transmission-qt
internet,Transmission_application_Gtk,transmission-gtk
internet,Transmission_client,transgui
internet,Uget,uget
internet,Xchat,xchat-gnome
,,
office,Abiword,abiword
office,Calibre,calibre
office,Calligra,calligra
office,Evince,evince
office,Eye_of_Gnome,eog
office,Gcstar,gcstar
office,Gnumeric,gnumeric
office,Libreoffice,libreoffice
office,Texmaker,texmaker
office,Tomboy,tomboy
,,
science,gElemental,gelemental
science,Geogebra,geogebra
science,Kalzium,kalzium
science,OpenUniverse,openuniverse
science,Stellarium,stellarium
,,
server,aMule_server,amule-daemon
server,Apache_2,apache2
server,Aria_2_server,aria2
server,Bind_9,bind9
server,Deluge_server,deluged deluge-webui
server,Jetty,jetty9
server,MariaDB_server,mariadb-server-10.1
server,Mumble_server,mumble-server
server,MySql_server,mysql-server-5.7
server,Proftpd,proftpd-basic
server,qBittorrent_server,qbittorrent-nox
server,SSH_server,openssh-server
server,Tomcat,tomcat8
server,Transmission_server,transmission-daemon
server,VNC_server,vnc4server
,,
sound_video,Amarok,amarok
sound_video,Audacity,audacity
sound_video,Clementine,clementine
sound_video,Cinelerra,cinelerra-cv
sound_video,Gstreamer,gstreamer1.0-plugins-good
sound_video,Guvcview,guvcview
sound_video,Kodi,kodi
sound_video,Mediainfo,mediainfo
sound_video,MkvToolNix,mkvtoolnix-gui
sound_video,OpenShot,openshot
sound_video,Puddletag,puddletag
sound_video,Smplayer,smplayer
sound_video,Spotify,libcurl3 spotify-client
sound_video,SubDownloader,subdownloader
sound_video,Videolan,vlc
sound_video,Flash_plugin,flashplugin-installer
,,
system,Bleachbit,bleachbit
system,Boot_repair,boot-repair
system,Gdebi,gdebi
system,Gmount_iso,gmountiso
system,Gparted,gparted
system,Grub_customizer,grub-customizer
system,Hardinfo,hardinfo
system,Htop,htop
system,Log_viewer,gnome-system-log
system,Startup_disk_creator_Gtk,usb-creator-gtk
system,Startup_disk_creator_Kde,usb-creator-kde
system,Synaptic,synaptic software-properties-gtk
system,Wine,wine-stable
,,
utilities,Byobu,byobu
utilities,Catfish,catfish
utilities,Compressor_commands,p7zip-full rar unrar
utilities,Etcher,etcher-electron
utilities,Gedit,gedit
utilities,Guake_terminal,guake
utilities,Keepassx,keepassx
utilities,Luckybackup,luckybackup
utilities,Menu_libre,menulibre
utilities,Midnight_commander,mc
utilities,Peazip,
utilities,Pyrenamer,pyrenamer
utilities,Speedcrunch,speedcrunch
utilities,Vim,vim
utilities,Virtualbox,virtualbox-qt
utilities,VMWare_player,
utilities,Yakuake,yakuake
